ds,yhat,yhat_lower,yhat_upper
2023-01-01,444.39913826507745,-325.7994709788295,1134.1647305130757
2023-01-01,444.39913826507745,-261.685426237867,1207.8502566445193
2023-01-01,444.39913826507745,-268.6767763299567,1133.074327032807
2023-01-02,483.91693983111145,-267.7301892918194,1212.2348613557465
2023-01-02,483.91693983111145,-222.7985643853258,1269.0603102916014
2023-01-02,483.91693983111145,-247.27454741126343,1182.80258040205
2023-01-02,483.91693983111145,-287.6409854884036,1189.2193443692486
2023-01-03,435.579473943691,-258.0613645204015,1237.972038035599
2023-01-04,431.5417444648951,-296.76870243517203,1183.4004363716574
2023-01-04,431.5417444648951,-305.10414969598054,1108.9487181748316
2023-01-04,431.5417444648951,-310.91121212995785,1159.31218374037
2023-01-05,451.70901326008993,-276.765308524702,1179.402682436578
2023-01-05,451.70901326008993,-232.1203949528637,1148.7259481771596
2023-01-05,451.70901326008993,-306.7543609602077,1114.6119861048776
2023-01-06,464.7431135122257,-254.4087053137496,1145.823886577953
2023-01-06,464.7431135122257,-255.25923285168298,1253.6259374177228
2023-01-07,525.9496563392532,-224.12760275829717,1261.086218455573
2023-01-07,525.9496563392532,-198.9659186325267,1213.0454599701266
2023-01-08,444.58683147051477,-256.64303014708685,1175.5528052892676
2023-01-08,444.58683147051477,-298.49439715195825,1189.2624219958486
2023-01-09,484.10463303656013,-255.8896637355172,1209.7373909979547
2023-01-10,435.76716714938135,-333.4585121991133,1126.421581953615
2023-01-10,435.76716714938135,-353.8231989638654,1183.074892094816
2023-01-11,431.72943767015835,-302.4520716371375,1165.6927702954501
2023-01-11,431.72943767015835,-292.5053795318731,1153.1944756984183
2023-01-11,431.72943767015835,-253.66737600765677,1175.0710692282366
2023-01-13,464.9308067178445,-211.35681836140438,1188.5473159139567
2023-01-13,464.9308067178445,-282.09177366950456,1173.612516942864
2023-01-13,464.9308067178445,-252.19021635968508,1229.7848389496478
2023-01-13,464.9308067178445,-238.16527865258377,1202.2786870356251
2023-01-14,526.1373495446737,-100.0567785882915,1225.523513832051
2023-01-14,526.1373495446737,-136.2320418362527,1258.2361544417604
2023-01-14,526.1373495446737,-190.48709477247658,1322.966734924421
2023-01-14,526.1373495446737,-174.88479265856964,1218.4554813289926
2023-01-15,444.7745247104204,-289.7856645917553,1180.4692983648758
2023-01-15,444.7745247104204,-317.3418016176666,1188.1105454040712
2023-01-15,444.7745247104204,-295.7724559014291,1210.6936365408903
2023-01-16,484.2923263110219,-198.49013903043678,1201.8612627170883
2023-01-16,484.2923263110219,-241.32274254358057,1277.7474561725683
2023-01-17,435.95486045801624,-302.7299165142427,1144.0795228924317
2023-01-17,435.95486045801624,-321.41258287453286,1126.105828653623
2023-01-17,435.95486045801624,-315.8757994138232,1190.304892002998
2023-01-17,435.95486045801624,-320.0856690692939,1142.203887768279
2023-01-19,452.08439984337747,-235.7586282207705,1252.2233316369857
2023-01-20,465.1185001299406,-340.10009131865473,1206.6347719158878
2023-01-20,465.1185001299406,-254.4643558686261,1230.274316150274
2023-01-21,526.3250429912774,-118.85017155434679,1272.6071098798313
2023-01-21,526.3250429912774,-215.468496058621,1207.2536328882393
2023-01-21,526.3250429912774,-163.35752167512118,1224.4877763315126
2023-01-22,444.96221815694713,-310.04710205000725,1160.2157009337377
2023-01-22,444.96221815694713,-279.12645097618037,1228.97741856366
2023-01-23,484.4800197574098,-222.7408233305379,1256.8551477525684
2023-01-23,484.4800197574098,-257.0841199235777,1237.5806245408833
2023-01-23,484.4800197574098,-197.0388025934124,1260.0098810546062
2023-01-24,436.14255390439865,-296.37701255916056,1085.129868342191
2023-01-24,436.14255390439865,-276.3650162330416,1191.4857591242242
2023-01-24,436.14255390439865,-244.71382742713374,1210.5998780631298
2023-01-25,432.1048244600188,-332.35908891790154,1169.7783834629656
2023-01-26,452.2720932899872,-301.31149415420606,1188.6589863419895
2023-01-26,452.2720932899872,-262.9774232991686,1196.9840514235527
2023-01-26,452.2720932899872,-296.37173545636335,1206.3920092585047
2023-01-26,452.2720932899872,-268.4392011194727,1173.7812269464187
2023-01-27,465.3061935764623,-290.20451292859957,1166.0707292600503
2023-01-27,465.3061935764623,-229.90053291594495,1174.3604203624975
2023-01-27,465.3061935764623,-226.73776497722056,1202.413173677599
2023-01-28,526.5127364839325,-216.83086459185247,1213.88174722474
2023-01-28,526.5127364839325,-190.0807486403076,1302.9146530584728
2023-01-28,526.5127364839325,-156.0115066812388,1237.9604197453582
2023-01-29,445.1499116957096,-285.72354387088944,1195.3638899349544
2023-01-30,484.667713342389,-226.29551581649875,1213.1988511537254
2023-01-30,484.667713342389,-271.21666620163415,1227.070637142172
2023-01-30,484.667713342389,-249.7986171358346,1185.3977672826875
2023-01-30,484.667713342389,-242.23229744792508,1248.9706789458828
2023-01-31,436.3302475354353,-259.01985964393936,1125.2957257487733
2023-01-31,436.3302475354353,-304.2596864846003,1170.4585774903671
2023-01-31,436.3302475354353,-329.8697080619842,1180.2900789685646
2023-02-01,432.29251813714006,-305.51863960920593,1254.2555726656913
2023-02-01,432.29251813714006,-311.2241190225678,1143.520531467414
2023-02-01,432.29251813714006,-269.19021088175765,1223.2562055417686
2023-02-02,452.45978701330375,-268.8350013757898,1182.4993518189815
2023-02-02,452.45978701330375,-310.3157392385314,1173.8824481753863
2023-02-02,452.45978701330375,-262.8639489946216,1202.9483923184212
2023-02-03,465.49388734567606,-217.81432382630535,1192.1628962973843
2023-02-03,465.49388734567606,-292.11268375789103,1195.231796952832
2023-02-04,526.7004302533608,-195.27006579897468,1295.6062589436258
2023-02-04,526.7004302533608,-167.12654321145854,1349.2004349947988
2023-02-05,445.33760546502975,-217.60582059214147,1207.178644721982
2023-02-05,445.33760546502975,-276.0428312909512,1180.6411171688562
2023-02-05,445.33760546502975,-244.30726683208565,1173.369015104594
